country_code,country,life_expectancy,gdp_per_capita,health_expenditure,obesity,smoking,air_pollution
AFG,Afghanistan,65.617,357.261152798144,23.0881691,19.222592,22.7,46.0870936659706
ALB,Albania,78.769,7756.96188744253,7.53646231,23.360185,21.9,15.7070036417042
DZA,Algeria,76.129,4960.30334332888,3.63464284,23.814993,21.2,25.5526558310447
AND,Andorra,84.016,42414.0479861228,7.52135801,18.099177,36.3,9.08028059086901
ARG,Argentina,75.806,13962.1894087223,10.15950489,35.355195,23.8,14.9081737974407
ARM,Armenia,74.7658536585366,6571.97445545099,9.96211243,24.509035,24.9,30.5796334750125
AUS,Australia,83.2,65169.5191118657,9.89226055,30.243906,13.1,8.25171746070811
AUT,Austria,81.2951219512195,52336.7725223758,11.22519779,15.367542,24.9,10.9335136815146
AZE,Azerbaijan,74.125,7770.594223351,3.41549611,26.548883,19.6,21.7269999756599
BHS,"Bahamas, The",74.491,34957.1613279737,7.04287481,47.25754,11.3,18.9393918728687
BHR,Bahrain,80.992,30470.5219276023,3.89098358,36.126715,15.0,58.4950629834781
BGD,Bangladesh,74.265,2716.48592780431,2.21544909,5.303124,32.9,42.3813762359965
BRB,Barbados,75.676,24387.0387293761,5.8744669,38.024801,7.0,23.7309657842996
BLR,Belarus,74.1033658536585,7994.64806074889,6.57784128,21.374618,30.1,14.6089903841381
BEL,Belgium,81.7487804878049,50605.7496677086,10.73976326,20.025368,26.7,11.2160664677018
BLZ,Belize,72.19,7068.21728043145,4.21643019,42.322871,8.8,28.6518070195516
BEN,Benin,60.475,1266.42711031904,2.98184395,11.165858,6.3,51.0478241974862
BTN,Bhutan,72.754,3711.32767981591,3.91757464,12.177311,18.7,23.9456576369223
BOL,Bolivia,67.434,4219.46113742445,7.15933084,28.680372,12.4,22.879459074231
BIH,Bosnia and Herzegovina,76.777,7655.59421024383,8.71644783,21.193913,36.2,26.6019532713554
BWA,Botswana,68.749,8328.7090572666,5.73650789,18.290879,18.7,18.9057549925814
BRA,Brazil,74.872,9281.33282136864,9.38739491,28.141835,12.2,12.1793252040724
BRN,Brunei Darussalam,72.917,36632.9280952155,1.77042186,31.710672,16.4,7.59726503432135
BGR,Bulgaria,74.1609756097561,13999.1949530956,7.63849449,20.587641,39.5,17.1474236131426
BFA,Burkina Faso,60.7,827.330843486661,7.41435528,6.7453086,14.3,58.4706762025055
BDI,Burundi,62.882,302.992505263552,8.6687746,5.0219052,11.2,29.6541345084659
CPV,Cabo Verde,75.907,4323.31362032709,6.70243406,15.772428,11.0,42.3225220905558
KHM,Cambodia,70.528,2325.03050040841,4.46856117,4.3638762,17.2,24.1436022803452
CMR,Cameroon,62.443,1604.87726954895,4.49439144,14.882499,6.5,39.8126251004519
CAN,Canada,81.0948780487805,56256.8007264015,11.08119678,26.227117,12.0,6.56566994375263
TCD,Chad,54.528,966.036468278568,4.15823555,6.6922761,7.4,49.1388484128027
CHL,Chile,79.176,15405.6165774073,10.0053072,38.914612,28.7,23.2750668049145
CHN,China,78.202,12970.6056414327,5.88078785,8.2795262,23.4,34.8105237153218
COL,Colombia,76.508,6680.44506854481,7.59037256,23.615474,8.2,14.1832514905064
COM,Comoros,66.481,1465.479642862,8.47119522,16.277736,17.2,11.9332724091044
COD,"Congo, Dem. Rep.",60.979,687.738587554685,3.9417696,6.6405505,12.2,26.6494833206385
COG,"Congo, Rep.",65.0,2620.83804267402,2.30011368,8.5372791,15.4,28.5737499496554
CRI,Costa Rica,79.316,13625.9008491328,7.18368196,31.387609,8.9,14.3075712471404
CIV,Cote d'Ivoire,61.562,2333.37128301259,3.63847613,11.643035,8.8,49.4977827339493
HRV,Croatia,77.5756097560976,18465.5414420364,7.29636335,30.616584,37.0,16.1208592960264
CYP,Cyprus,80.434,33231.04296875,8.27201366,22.936533,35.6,13.508701890821
CZE,Czechia,78.9292682926829,28282.2236715857,8.47063065,25.979522,29.9,14.1110711384133
DNK,Denmark,81.3048780487805,67781.0940939514,9.47411346,13.27851,16.2,9.06983927345931
DOM,Dominican Republic,74.211,10104.2449349081,4.64506817,29.34005,10.5,19.8267440369685
ECU,Ecuador,76.577,6515.58528418336,7.60183907,27.378547,10.2,16.6570210758922
SLV,El Salvador,71.969,5074.60210221806,9.82036304,30.880031,8.9,20.0287144500145
EST,Estonia,77.8439024390244,28340.3826549406,6.93641424,22.163188,28.3,6.14573290973003
SWZ,Eswatini,63.028,3894.1620089869,7.2449131,30.086693,9.5,18.7831211422857
ETH,Ethiopia,66.897,982.103161506992,2.85298109,2.8227715,5.2,27.3053276470482
FJI,Fiji,67.148,5414.12092119088,4.01752949,33.838442,27.6,12.4187981716598
FIN,Finland,81.1878048780488,50440.560224974,9.74152565,21.509065,22.3,4.89518090216668
FRA,France,82.1292682926829,40988.6396406579,11.82888794,9.6984781,34.6,9.60038144780495
