country_code,country,year,life_expectancy,gdp_per_capita,health_expenditure
EAR,Early-demographic dividend,2022,71.4304552508694,4043.82776331568,4.78052753881682
EAS,East Asia & Pacific,2022,76.6767167147452,13139.2109813612,6.99693851217457
FCS,Fragile and conflict affected situations,2022,62.702271566254,1850.91743054769,4.40080691492368
HPC,Heavily indebted poor countries (HIPC),2022,63.8404661926623,1121.48387311982,4.66417434703739
LTE,Late-demographic dividend,2022,76.954367313865,12286.0846812169,6.16543057047232
LCN,Latin America & Caribbean,2022,74.6472095421659,9408.84820249156,7.95442538225403
LDC,Least developed countries: UN classification,2022,65.7632017862259,1299.36172423082,3.66633157726896
NAC,North America,2022,77.8170599153732,74535.6365392629,16.0994557297062
PST,Post-demographic dividend,2022,80.1924721633692,50969.801641014,13.3618138462269
PRE,Pre-demographic dividend,2022,61.3833052969468,1770.15579032782,4.29732672241886
SAS,South Asia,2022,72.0115731308447,2385.08341896271,3.3087387158875
AFG,Afghanistan,2022,65.617,357.261152798144,23.0881691
ALB,Albania,2022,78.769,7756.96188744253,7.53646231
DZA,Algeria,2022,76.129,4960.30334332888,3.63464284
ASM,American Samoa,2022,72.752,18017.4589383973,
AND,Andorra,2022,84.016,42414.0479861228,7.52135801
AGO,Angola,2022,64.246,3682.1131513698,2.60041046
ATG,Antigua and Barbuda,2022,77.483,20105.1989085164,4.43146801
ARG,Argentina,2022,75.806,13962.1894087223,10.15950489
ARM,Armenia,2022,74.7658536585366,6571.97445545099,9.96211243
ABW,Aruba,2022,76.226,30975.9989121779,
AUS,Australia,2022,83.2,65169.5191118657,9.89226055
AUT,Austria,2022,81.2951219512195,52336.7725223758,11.22519779
AZE,Azerbaijan,2022,74.125,7770.594223351,3.41549611
BHS,"Bahamas, The",2022,74.491,34957.1613279737,7.04287481
BHR,Bahrain,2022,80.992,30470.5219276023,3.89098358
BGD,Bangladesh,2022,74.265,2716.48592780431,2.21544909
BRB,Barbados,2022,75.676,24387.0387293761,5.8744669
BLR,Belarus,2022,74.1033658536585,7994.64806074889,6.57784128
BEL,Belgium,2022,81.7487804878049,50605.7496677086,10.73976326
BLZ,Belize,2022,72.19,7068.21728043145,4.21643019
BEN,Benin,2022,60.475,1266.42711031904,2.98184395
BMU,Bermuda,2022,82.062,121613.939983629,
BTN,Bhutan,2022,72.754,3711.32767981591,3.91757464
BOL,Bolivia,2022,67.434,4219.46113742445,7.15933084
